,BGC,idseq
130,AF498417,Cluster_1794780 Cluster_0897526 Cluster_0375649 EC:1.1.1.22 Cluster_0610929 Cluster_0823195 Cluster_1093412 EC:6.3.5.4 Cluster_0513520 Cluster_1592747 EC:5.1.3.26 Cluster_0440487 Cluster_0599966
131,AF498418,Cluster_1794780 Cluster_0635782 Cluster_0264154 Unknown Cluster_0826725 Cluster_0421784 EC:2.7.7.82 Cluster_1866529 Cluster_0953144 EC:2.5.1.57 Cluster_1219685 EC:4.1.1.35 Cluster_1259434 Cluster_0755208 Cluster_1269166 Cluster_0599966
132,AF498419,Cluster_1794780 Cluster_0635782 Cluster_0264154 Unknown Cluster_0980986 Cluster_0421784 EC:2.7.7.82 Cluster_1866529 Cluster_0953144 EC:2.5.1.57 Cluster_1219685 EC:4.1.1.35 Cluster_1259434 Cluster_0440636 Cluster_1269166 Cluster_0599966
133,AF498420,Cluster_1794780 Cluster_0234712 Cluster_0388195 Cluster_1020871 EC:4.2.1.115 Cluster_0578272 EC:2.7.7.82 Cluster_1842984 Cluster_0652876 Cluster_0164045 Cluster_1160219 Cluster_0509722 Cluster_0402868 EC:5.1.3.2 Cluster_0070737 Cluster_0599966
134,AF506522,Cluster_1226221 EC:2.3.1.239 EC:2.3.1.94 Cluster_0353673 EC:2.3.1.111 EC:2.3.1.94 EC:2.3.1.94
135,AF512431,Cluster_0179077 Cluster_0823666 Cluster_1050583 Cluster_1064472 Cluster_1185756 Cluster_1109380
136,AF521894,Cluster_1867471 Cluster_0830075 Cluster_1081185 EC:2.6.1.50 Cluster_0681358 EC:2.7.1.179 Cluster_1468808
137,AF521895,Cluster_1457571 Cluster_1819084 Cluster_0737629 Cluster_0239340 Cluster_1063191 Cluster_0107446 Cluster_0235325 Cluster_0481286 Cluster_0666424
138,AF521896,EC:2.3.1.38 EC:2.3.1.165
139,AF521897,Cluster_1226221 EC:2.3.1.94 Cluster_1253199
140,AF544987,Cluster_1418085
141,AH012610,EC:2.3.1.38 EC:2.3.1.165 Cluster_1457571 Cluster_1819084 Cluster_0737629 Cluster_0239340 Cluster_1063191 Cluster_0107446 Cluster_0235325 Cluster_0481286 Cluster_0666424 Cluster_1867471 Cluster_0830075 Cluster_1081185 EC:2.6.1.50 Cluster_0681358 EC:2.7.1.179 Cluster_1468808
142,AH012634,Cluster_0103885 Cluster_1028381 EC:4.2.1.145 Cluster_0201752
143,AJ011849,EC:6.2.1.3
144,AJ224512,Cluster_0133357 Cluster_1597932 Cluster_0321428 Cluster_0341439 Cluster_0757482 EC:2.1.1.288 EC:1.13.12.22 Cluster_0231832 EC:2.3.1.179 Cluster_1722574 Cluster_0844042 EC:2.1.1.234 Cluster_0124074 Cluster_0230491 Cluster_0729452 Cluster_1617506
145,AJ250878,Cluster_1428882
146,AJ278141,Cluster_1033011
147,AJ279018,EC:1.1.1.31 Cluster_1394747 Cluster_0122665 EC:5.3.3.2
148,AJ414559,Cluster_0217832 Cluster_1516648 Cluster_1503524 Cluster_0985814 Cluster_0032639 EC:4.3.3.5 EC:1.4.3.23 EC:1.21.98.2 Cluster_1759893 Cluster_1102376 EC:2.1.1.315 Cluster_1110989 EC:1.5.1.30 Cluster_0839379 EC:1.14.19.9 EC:2.7.8.26
149,AJ576102,EC:6.2.1.3 Cluster_0102991 Cluster_0113846 Cluster_1666696 Cluster_1352951 Cluster_1834227 EC:2.8.3.5 EC:1.14.14.46 EC:2.8.1.6 EC:6.3.3.3 EC:6.2.1.14 Cluster_0085475 Cluster_1909827 Cluster_0138130 EC:6.4.1.4 EC:4.2.1.18 EC:4.1.3.4 EC:6.4.1.7 Cluster_1099530 Cluster_0019973 Cluster_1552567 Cluster_1819092 EC:6.2.1.3 EC:6.2.1.3 EC:6.2.1.3 EC:6.2.1.3 EC:6.2.1.3
150,AJ699306,Cluster_1125707 Cluster_0893709 Cluster_0972347 Cluster_0909082 EC:6.2.1.3 Cluster_1346011 Cluster_1178519 Cluster_1795693 Cluster_0612452 Cluster_0199343 Cluster_0392105 EC:3.6.3.24
151,AJ744850,Cluster_0892702 Cluster_0061814 Cluster_1301477 Cluster_0685020 Cluster_1149646 EC:2.3.1.81 EC:2.6.1.93 EC:3.5.1.112 Cluster_1837898 EC:1.1.3.43 Cluster_0970700 EC:3.6.3.44 EC:2.4.1.283 EC:4.2.3.4 Cluster_1906074 Cluster_0272639 Cluster_1766912 Cluster_1313057 Cluster_1553447 Cluster_1787479
152,AJ786317,EC:3.5.1.112 Cluster_1428022 Cluster_1623353 EC:1.1.3.43 Cluster_1746214 EC:3.6.3.44 EC:2.4.1.283 EC:4.2.3.4 Cluster_1906074 Cluster_0272639 EC:2.7.1.95 Cluster_0704909 Cluster_0709593 Cluster_0713273 Cluster_1686717 Cluster_1003536 Cluster_1813678 Cluster_1293759 Cluster_1427691 Cluster_1769840 Cluster_0682169
153,AJ786382,EC:2.1.1.197 Cluster_0205795 Cluster_0639943 Cluster_1898658 Cluster_1535785 Cluster_1210939 Cluster_0867206 Cluster_1303027 EC:2.3.1.179 Cluster_1120827 Cluster_1162769 Cluster_0436960 Cluster_0620495 Cluster_0820721 Cluster_0404839 EC:4.2.1.46 Cluster_0817378 Cluster_0363649
154,AJ862840,Cluster_0358828 Cluster_1017350 Cluster_1761369 Cluster_0090820 Cluster_0477168 Cluster_1879976 EC:2.6.1.50 Cluster_0992319 Cluster_0895305 Cluster_0288352 EC:5.1.3.13 EC:1.1.1.133 EC:4.2.1.46 EC:2.7.7.24 Cluster_0520305 EC:2.7.1.72 Cluster_0406754 Cluster_1906128 EC:3.1.3.1 Cluster_1882580 Cluster_1210117 Cluster_1383392
155,AJ874112,Cluster_0870119 Cluster_1496338 Cluster_1221786 Cluster_0238182 Cluster_0560003 EC:2.7.11.1 Cluster_0643107 Cluster_1486427 Unknown Cluster_1681261 EC:2.3.1.39 Cluster_1249576 Cluster_0654822 Cluster_1795693 Cluster_0507148 EC:3.2.1.20 Cluster_0711757 EC:2.7.11.1
156,AM231613,Cluster_1391344 EC:6.2.1.20 Cluster_1615097 Cluster_1700997 Cluster_1238146 Cluster_1311906
157,AM231619,Cluster_1558703 EC:2.7.7.94 Cluster_0349490 Cluster_0615989 Cluster_1131197 Cluster_1530625
158,AM295011,EC:4.2.3.5 EC:4.2.3.4 Cluster_0587353 EC:4.1.3.27 EC:2.4.2.18 EC:4.1.1.48 EC:5.3.1.24 EC:4.2.1.20 EC:4.2.1.20 EC:2.6.1.9 EC:1.3.1.12 EC:2.5.1.19
159,AM384985,Cluster_1882878 EC:6.4.1.3 Cluster_1081463 Cluster_1569962 EC:2.3.1.74 Cluster_0834107 Cluster_1465976 Cluster_0351375 Cluster_1737532 Cluster_1619086 EC:2.5.1.6 Cluster_0609398 EC:2.1.1.13 Cluster_0256492 EC:3.3.1.1 Cluster_0415633 Cluster_0437553 Cluster_0961172 Cluster_1145057 Cluster_1053750 Cluster_0807408 Cluster_1573063 Cluster_0287788 Cluster_1054782 Cluster_1479296 Cluster_1915109 Cluster_0613912 EC:3.3.2.1 EC:4.1.3.27 Cluster_1203031 Cluster_0599809
160,AM384990,Cluster_0412426 EC:3.2.2.28 Cluster_0125666 Cluster_0762569 EC:5.3.3.2 EC:2.4.1.47 Cluster_0143988 EC:1.3.99.31 EC:2.5.1.32 Cluster_1206133 Cluster_1858263 Cluster_1041508 Cluster_0512677 Cluster_1532996 Cluster_0860564 Cluster_0336173 Cluster_0137050 EC:2.1.1.33 Cluster_0902356 EC:4.2.2.n1 EC:2.4.2.52 Cluster_0970700 EC:2.8.3.10 Cluster_0004946 Cluster_0095403 Cluster_1135488 Cluster_0735460
161,AM493721,Cluster_0563981 Cluster_1259222
162,AM709783,Cluster_0239340 Cluster_1338720 EC:3.6.3.17 Cluster_0103885 Cluster_0247583 Cluster_1206741 EC:2.1.1.104 EC:1.3.1.86 EC:2.4.1.316 EC:2.1.1.235 Cluster_1407978
163,AM709784,Cluster_1702266 Cluster_1033011 EC:2.6.1.106 EC:2.7.7.24 EC:4.2.1.46 Cluster_0228306 Cluster_1472319 Cluster_0970700 EC:2.1.1.234 Cluster_0458951 Cluster_1791264 Cluster_1595487 Cluster_0986134 Cluster_1333365 EC:2.4.1.316 Cluster_1611115 Cluster_1159649 Cluster_0346042 Cluster_0676591 Cluster_0869246 Cluster_0755070 Cluster_0471602 Cluster_0378724 EC:2.4.1.318 Cluster_0627754 Cluster_0611030 Cluster_0131285 Cluster_1041500 Cluster_0843292 Cluster_0372602 Cluster_0673367 EC:3.2.1.55
164,AM712657,EC:4.1.1.22 Cluster_0147671 EC:6.2.1.3 Cluster_1186347 Cluster_0583220 Cluster_0166161
165,AM889123,EC:1.1.1.133 EC:4.2.1.46 EC:2.7.7.24 EC:5.1.3.13 EC:5.1.3.2 EC:2.7.2.11
166,AM921700,Cluster_1263940 Cluster_0870384 Cluster_0970700 Cluster_1605056 Cluster_1700392 EC:3.1.1.72
167,AM941719,Cluster_1013232 Cluster_0864922 Cluster_0552964 Cluster_1017458 EC:3.4.24.69
168,AM990466,Cluster_1165536 EC:1.1.1.1 EC:2.7.2.8 EC:6.2.1.3
169,AM990467,Cluster_0592824 Cluster_0174125 EC:4.1.2.9 Cluster_1707064 EC:2.7.2.1 Unknown
170,ATLOVBSGC1,EC:3.2.1.23 Cluster_1117767 EC:1.14.13.197
171,ATLOVBSGC2,EC:3.1.2.31 Cluster_1657215 EC:2.3.1.238 Cluster_0093497 Cluster_1618508 Cluster_0293833 EC:2.3.1.244 Cluster_1388643 Cluster_0401416 EC:4.1.1.6 Cluster_1232076 EC:1.14.14.54 Cluster_1699941
172,AY026363,EC:6.4.1.3 Cluster_1204982 Cluster_0123107 Cluster_1746253 EC:2.7.7.24 Cluster_0041535 Cluster_1667306 Cluster_1869978 Cluster_1082080 Cluster_0146269 Cluster_0862616 Cluster_1034469
173,AY033994,Unknown Cluster_0226488 EC:1.1.1.276 Cluster_0659041 EC:1.1.1.107 EC:2.3.1.179 EC:2.3.1.179 Cluster_0657302 Cluster_0851853
174,AY034175,Cluster_1570162 Cluster_1746218 Cluster_1895424 Cluster_1339321 Cluster_0929798 Cluster_0907590 Cluster_0669963 Cluster_1531783 Cluster_0601862
175,AY045759,EC:2.5.1.6 Cluster_1325162 Cluster_0672441
176,AY116644,EC:1.1.1.86 Cluster_1469117 EC:2.2.1.6 Cluster_1483775 Cluster_1275168 Cluster_0647625 Cluster_1149646 Cluster_1020916 Cluster_1714919 Cluster_0916006 Cluster_0183953 Cluster_0818002 Cluster_0344218 EC:6.1.1.11 Cluster_1053929
177,AY150801,Cluster_1536693 Cluster_0730168 Cluster_0477168 EC:1.3.99.27 Cluster_0895382 EC:1.3.1.54 Cluster_1563891 Cluster_1665188 EC:5.4.99.61 EC:2.1.1.132 Cluster_1626232 EC:2.1.1.195 EC:2.3.1.8 Cluster_0105496
178,AY163384,Unknown EC:5.1.3.37 Cluster_0610654 EC:4.2.2.3 Cluster_1679478
179,AY187683,Cluster_1192257
180,AY21700,Cluster_1845293 Cluster_0469378 Cluster_1711332 Cluster_1477079 Cluster_0225358 Cluster_0931083 Cluster_0968728 Cluster_0946154 Cluster_1449151 Cluster_1190184 Cluster_1043655 Cluster_0257264 Cluster_0424321 Cluster_1134945 Cluster_1199527 Cluster_0550560 Cluster_0888095 EC:3.6.3.43 Cluster_0953144 EC:2.7.7.24 Cluster_0176575 Cluster_1011439 EC:1.1.1.133 Cluster_1211269 Cluster_1588440
181,AY228175,Cluster_1706287 Cluster_0168182 Cluster_0617706 Cluster_1326636 Cluster_1772936 Cluster_1091769 Cluster_0537012 EC:3.1.26.4 Cluster_1362784 Cluster_0814055 Cluster_0720500 Cluster_0257405 Cluster_0255497 Cluster_0814055 Cluster_0553691 Cluster_1277710 Cluster_1423107 EC:2.3.1.179 Cluster_0454583 Cluster_0853903 EC:1.1.1.100 Cluster_1243922 Cluster_1862879 Cluster_0414987 Cluster_0509722 Cluster_0333071 Cluster_1433175 Cluster_1744218 Cluster_0006937
182,AY228176,Unknown Cluster_1269604 Cluster_1781555 Cluster_0363963 EC:2.3.1.179 Cluster_1563710 Cluster_1027651
183,AY228177,EC:1.1.1.100 Cluster_0537122 Cluster_0532087 Cluster_1690846
184,AY234384S1,Cluster_0745690 Cluster_0439648 Cluster_1523847 Cluster_0050232 EC:1.3.7.15 EC:1.3.7.15 EC:1.3.7.15 EC:1.9.3.1 Cluster_1835367 Cluster_1720502 Cluster_1121844 Cluster_0983429 EC:1.3.99.27 EC:2.5.1.32 Cluster_1031387 EC:1.14.13.81 Cluster_1431532 Cluster_1272548 Cluster_1474940 EC:2.1.1.11 EC:1.3.7.7
185,AY277723,Cluster_0234634 Cluster_0576899 EC:4.2.3.74 Cluster_0736060 Cluster_1637445
186,AY279078,Cluster_1679478 Cluster_0807408 Cluster_0035174 EC:5.3.1.8
187,AY357726,Cluster_0932509 Cluster_0326445 EC:2.7.7.39 Cluster_1627558
188,AY371490,Cluster_1383005 Cluster_1517604 Cluster_0672869 EC:2.3.1.221 EC:1.1.1.349 EC:2.3.1.86 EC:2.3.1.86 Cluster_0168029 EC:1.1.1.352 EC:3.1.1.94 Cluster_1093336 EC:1.1.1.100 Cluster_0939003 Cluster_1114069 Cluster_0496470 Cluster_1859823 EC:2.1.1.109 EC:2.1.1.110 EC:1.14.13.175 EC:4.2.1.143 Cluster_1547874 Cluster_0913535 Cluster_1451927 Cluster_1084729 Cluster_0299315 Cluster_1199592 Cluster_0306587 Cluster_0160172 Cluster_0173221
189,AY461806,Cluster_1667306 EC:2.3.1.179 Cluster_1361526
190,AY524043,Cluster_1862059 EC:2.4.2.29 Cluster_1862108 EC:2.6.1.93 Cluster_1140277 Cluster_1516648 EC:2.4.1.283 EC:2.1.1.179 EC:2.6.1.101 EC:4.2.3.4 Cluster_1594947 EC:2.4.1.301 Cluster_1202448 EC:2.6.1.101 EC:1.7.1.13 Cluster_1573975 EC:2.7.1.95 Cluster_1761098 Cluster_0566155 Cluster_0563619 Cluster_0949053 Cluster_0753417 Cluster_0278221 EC:1.1.1.329 Cluster_0643107 EC:6.3.4.20
191,AY644679,Cluster_0596018 Cluster_1068363 Cluster_0709937 Cluster_0341890 Cluster_1192257 Cluster_0299315 Cluster_1421019
192,AY649543,Cluster_0553642
193,AY661566,EC:2.3.1.94 Cluster_1285373 EC:2.3.1.94 EC:2.3.1.94
194,AY738106,Cluster_1841733 Cluster_0849892 Cluster_0139483 Cluster_1215189 Cluster_0105443 Cluster_0204117 EC:3.3.2.1 EC:6.3.2.14 EC:5.4.4.2 EC:1.3.1.28 EC:2.5.1.54
195,AY753181,Cluster_1626680 EC:4.2.3.152 EC:2.7.7.27 Cluster_0161261
196,AY773079,Cluster_0653359 Cluster_1021965 Cluster_0042171
197,AY780645,Cluster_1563262 Cluster_1822761 EC:3.1.21.4 Cluster_1854610 Cluster_0648997 Cluster_0474201 Cluster_0832358 Cluster_0709593 Cluster_1384896 Cluster_0342129 EC:6.3.5.11 Cluster_1669720 Cluster_1639085 EC:2.1.1.195 Cluster_0795317 Cluster_0721594 Cluster_0258714 Cluster_1096068 Cluster_1416793 Cluster_1693316 Cluster_0589290 EC:4.99.1.3 Cluster_1140527 Cluster_0432422 Cluster_1301787 Cluster_1516278 Cluster_1862059 Cluster_1412854 Cluster_0631099 EC:1.2.1.70 EC:2.5.1.61 EC:4.2.1.24 EC:5.4.3.8 Cluster_0280628 EC:2.7.8.26 Cluster_0794167 EC:2.4.2.21 Cluster_0893042 Cluster_0646512 Cluster_1003452 Cluster_0321203 Cluster_0493859 Cluster_0490695
198,AY825941,Cluster_1885107 EC:2.7.7.58 EC:1.13.11.11
199,AY838877,Cluster_1435231 Cluster_0823656 Cluster_0312650 Cluster_0009130 Cluster_0641423 Cluster_1614330 Cluster_0717380 EC:3.4.13.19 Cluster_1845293 Unknown
200,AY907537,Cluster_0010738 Unknown Unknown Cluster_0922191 Cluster_1226977 Cluster_1653963 Cluster_0531280 Cluster_0838914 Cluster_1500300 Cluster_1653963
201,AY907538,Cluster_1711978 Cluster_1719772 Cluster_0528984 Cluster_1191204 Cluster_0871330 EC:2.3.3.10 EC:2.3.1.39 Cluster_1426731 Cluster_0888095 Cluster_0319737 Cluster_0489914 Cluster_0179174 Cluster_0526676
202,AY942707,Cluster_1071280 Cluster_0498975 Cluster_0719990 Cluster_1359557 EC:3.4.23.36 Cluster_0092771 Cluster_0416738 Cluster_0689838
203,AY944685,Cluster_0722337 Cluster_0410901 EC:1.14.13.1 Cluster_1103870 EC:5.5.1.1 EC:1.13.11.1 Cluster_1019427 Cluster_1283511
204,AY952143,Cluster_0222010 EC:4.2.3.4 EC:2.7.1.179 Cluster_0029250 EC:2.6.1.50 Cluster_0847499 Cluster_0907693 Cluster_0074328 Cluster_0929395
205,AY954686,Cluster_0394244 Cluster_0492897 EC:1.1.1.169 Cluster_0316692 Cluster_1202448
206,AY956334,Cluster_1144371 Cluster_0918134 Cluster_0822461 Cluster_1335779 Cluster_1437433 EC:2.3.1.179 Cluster_0392856 Cluster_1050387 EC:1.1.1.100 Cluster_0155140 Cluster_1298215 Cluster_0216215 Cluster_0970273 Cluster_0317626 Cluster_1403985 Unknown
207,BD269387,EC:2.6.1.50 Cluster_0368248 Cluster_0598472
208,BD269390,Unknown
209,BD269445,Cluster_1392856 EC:2.3.1.94 Cluster_0177475 Cluster_0465771 Cluster_0190281 Cluster_1589676 Cluster_0785087 Cluster_0559313 Cluster_1142364
210,BD269446,Cluster_0467728 Cluster_1266069 Cluster_0323174 Cluster_0015572 Cluster_0138130 Cluster_1800047 Cluster_1747491 Cluster_1791027 Cluster_0920754
211,BD269447,Cluster_1019729 EC:2.7.1.179 Cluster_0335217 EC:3.1.26.5 EC:4.2.3.4 Cluster_0679017 Cluster_0199872 Cluster_1403591 Cluster_0551809 Cluster_1410163 Cluster_0136452 Cluster_0121567 Cluster_0479704 Cluster_0953144 EC:1.1.1.100 Cluster_0760665 Cluster_1011472 Cluster_0598472 Cluster_0368248 EC:2.6.1.50 Cluster_0294222 Cluster_1396441 Cluster_1384093 Cluster_1000034 Cluster_1662174 EC:4.2.1.10 Cluster_0780734 Cluster_0394062 Cluster_1029075 Cluster_0854368 Cluster_1845293 Cluster_1712887 Cluster_1200871 Cluster_0018542 Cluster_1385222 Cluster_0261420 Cluster_0970273 Cluster_1428882 Cluster_0653555 EC:2.7.1.25 EC:2.7.7.4 Cluster_0317972 Cluster_0179077 Cluster_1791027
212,BD269464,Cluster_1392856 EC:2.3.1.94 Cluster_0177475 Cluster_0465771 Cluster_0190281 Cluster_1589676 Cluster_0785087 Cluster_0559313 Cluster_1142364 Cluster_1019729 EC:2.7.1.179 Cluster_0335217 Cluster_0964092 EC:4.2.3.4 Cluster_0679017
213,BK000545,EC:1.2.1.38 Cluster_1440640 Cluster_1628147 EC:6.3.2.43 EC:2.6.1.11 Cluster_0221898 EC:2.5.1.89
214,D50308,EC:6.2.1.3
215,D83643,Cluster_0118984
216,DD163065,Cluster_0288723 Cluster_0052449 EC:3.2.1.49 Cluster_1594403 Cluster_1422947 Cluster_0202588 Cluster_0198678 Cluster_0295491 Cluster_0109891 Cluster_1159649 EC:3.6.3.33 Cluster_0426950 Cluster_0207958 Cluster_1834263 Cluster_0436919 Cluster_0061981 Cluster_1459141 Cluster_1461835 Cluster_0998258 Cluster_1146342 Cluster_1239473 Cluster_0758743 Cluster_1688580 Cluster_0638659 Cluster_0698291 Cluster_0248663 EC:6.2.1.3 EC:6.2.1.3 Cluster_0627725 Cluster_0895114 Cluster_0303372 Cluster_1818036 Cluster_1360241
217,DD163067,EC:6.2.1.3
218,DD163071,Cluster_0248663
219,DD163072,Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Unknown Cluster_0158947
220,DD163119,Cluster_1880516 Cluster_1579643 Cluster_0996684 Cluster_1872115 Cluster_0971807 EC:6.5.1.1 Cluster_0177224 Cluster_0368722
221,DD163121,Cluster_0120066 Cluster_0850719 Cluster_0236992 Cluster_1201610 Cluster_0443984 Cluster_0970700 Cluster_0861742 Cluster_0641339 Cluster_0687491 Cluster_1245317 Cluster_1313057 Cluster_0419651 EC:3.6.4.12
222,DD163134,Cluster_1313057
223,DD164761,EC:4.1.1.20 Cluster_0825503 Cluster_0177475 Cluster_0457011 Cluster_0077140 EC:4.2.1.144 Cluster_0657302 Cluster_1555815 EC:4.2.3.4 Cluster_1009142
224,DD174030,Cluster_1794335 Cluster_0419107 Cluster_0614311 Cluster_0145365 Cluster_1901953 Cluster_1139482 Cluster_0544057 Cluster_0110200 Cluster_0448765 Cluster_1183087 EC:2.6.1.9 Cluster_0220918 Cluster_1844175 Cluster_0059834 Cluster_1326129 Cluster_0926646 Cluster_0468861 Cluster_1634966 Cluster_0080181 Cluster_1542640 Cluster_1439736 Cluster_1403222 Cluster_0103885 Cluster_1021965 Cluster_1305928 EC:1.1.1.100 Cluster_0878053 Cluster_1380808 Cluster_0285431 Cluster_0929395 Cluster_1316607 Cluster_0049857 EC:6.2.1.3 Cluster_0751907 Cluster_1305753 Cluster_1192257 Cluster_0970700 Cluster_1367435 Cluster_0567571 Cluster_1878354 Cluster_1483775 EC:4.2.1.119 Cluster_0152017 Cluster_0269720 Cluster_0357299 Cluster_0695326 Cluster_1834227 Cluster_1090439 Cluster_1416409 Cluster_0105546 Cluster_1251736 Cluster_0207659 Cluster_0325745 EC:6.2.1.26 Cluster_1539147 Cluster_0302459 Cluster_1474173 Cluster_0642099 Cluster_0255337 Cluster_0416965 Cluster_1381988 Cluster_1860349 EC:3.6.3.41 EC:3.6.3.41 EC:3.3.1.1 Cluster_0317972
225,DD494857,Cluster_0631798
226,DD494858,EC:2.7.7.59
227,DD494859,Cluster_1706395 EC:2.7.7.59 Cluster_0631798 Cluster_1709095 Cluster_0468861 Cluster_0355445 Cluster_1481237 Cluster_1367625 Cluster_1341081 Cluster_1342378 Cluster_1818968 Cluster_1451055
228,DD494860,Cluster_1353147 Cluster_1818968 Cluster_1451055
229,DI106992,EC:3.6.4.13 Cluster_1326087 Cluster_1568872 Cluster_1818968 Cluster_1687234 Cluster_1439736 Cluster_0650917
230,DI166456,EC:6.2.1.3
231,DI166763,Cluster_0417719
232,DM377800,Cluster_0980697 Cluster_1806704 Cluster_0844171 EC:3.6.3.25 Cluster_1435475 Cluster_0925641 Cluster_0409832 Cluster_1184433 EC:2.3.1.180 Cluster_0782002 Cluster_0967327 EC:2.3.1.179 Cluster_0034139 Cluster_1140967 Cluster_0192802 Cluster_1585644 Cluster_1149335 Cluster_0209712 Cluster_1758656 Cluster_1668669 Cluster_0857423 Cluster_1556616
233,DQ087286,EC:2.1.1.197 Cluster_1370069 EC:2.1.1.101 Cluster_1340063 Cluster_1861235 Cluster_1623857 Cluster_1437620 Cluster_0053552 Cluster_1423284 Cluster_0095129 Cluster_1669720 EC:2.6.1.50 EC:2.1.1.234
234,DQ141263,Cluster_1792421 Cluster_1136322 EC:2.1.3.3 Cluster_1563340 Cluster_0225786 Cluster_0617785 Cluster_1318152 Cluster_1383005 Cluster_0006604 Cluster_1573975 Cluster_0873483 EC:2.7.1.25 Cluster_0053065 Cluster_0204640 Cluster_0589290
235,DQ155426,Cluster_1418703 Cluster_0229435 Cluster_1234829 Cluster_1840615 EC:3.6.3.44
236,DQ249342,Cluster_0152891 EC:2.3.1.94 EC:2.3.1.239 EC:2.2.1.6 EC:2.3.1.94 Cluster_1115372 EC:4.2.3.4 Cluster_0650794 EC:1.1.1.25 EC:2.6.1.50 Cluster_1320997 Cluster_0893692 EC:2.7.1.179
237,DQ532441,Cluster_1345435 Cluster_1369907 Cluster_1224241 Cluster_1121531 Cluster_0591221 Cluster_1228842 Cluster_0532624
238,DQ792514,Cluster_1071670 Cluster_1642767 Cluster_0757921 EC:4.2.3.4 EC:2.7.1.2 EC:4.2.1.10 EC:2.6.1.50 Cluster_1566978 Cluster_0295812
239,DQ792516,Cluster_0424602 Cluster_0358660 Cluster_1086283
240,DQ844599,Cluster_1258143 Cluster_1478939 Cluster_1168235 Cluster_1034339 Cluster_1283264 Cluster_0670765 EC:1.2.4.1
241,DQ855474,Cluster_0699178 EC:2.3.1.179 Cluster_0312146 Cluster_1468660
242,EF032014,EC:2.1.1.35 EC:2.3.3.10 Cluster_0087115 EC:2.3.1.39 Cluster_0799547 EC:2.1.1.77 EC:2.4.1.13 Cluster_1008496 EC:2.7.7.7
243,EF217405,Cluster_0627351 Cluster_1406698 EC:2.3.1.n2 EC:2.3.1.180 EC:2.3.1.39 EC:1.1.1.100 Cluster_0697031 Cluster_0179077
244,EF429246,Unknown EC:3.4.13.19 Cluster_1454618 Cluster_1463401 Cluster_0009130 Cluster_1790804 Cluster_1119397 Cluster_0972347 EC:6.2.1.3 Cluster_1187982
245,EF429247,EC:3.4.13.19 EC:6.2.1.3 Cluster_1614330 Cluster_0641423 Cluster_0009130 Unknown Unknown Cluster_1845293 Cluster_1362814 Cluster_0487688
246,EU139418,Cluster_1545491 Cluster_0584649 Cluster_0634865 EC:3.6.3.41 Cluster_0750400 Cluster_0240234
247,EU199080,Cluster_1609512 Cluster_0106577 EC:6.2.1.3 Cluster_1274850 EC:2.4.2.43 EC:3.6.3.41 Cluster_1582641 Cluster_1880516
248,EU199081,Cluster_0987644 EC:6.2.1.3 Cluster_1855732 Cluster_1444980 Cluster_1221122 Cluster_1338454
249,EU341307,Cluster_1403985 Cluster_1636252 Cluster_0631521 Cluster_0151766 EC:2.4.1.64 EC:2.7.7.6
250,EU364530,Cluster_0713296 Cluster_1706395 Cluster_0579578
251,EU594508,Cluster_0610929 Cluster_0767974 Cluster_1435110 Cluster_1310129 Cluster_1206000 Cluster_0067576 Cluster_1700351
252,EU603710,Cluster_1742368 Cluster_0684634 Cluster_1326636 EC:3.5.4.5 Cluster_0386457 Cluster_0008832 Cluster_1170926 Cluster_0652876 Cluster_0866292 Cluster_1573193 Cluster_1345717 Cluster_0357299 Cluster_1453541 Cluster_0326445 Cluster_0207197 Cluster_0606316 Cluster_1491850 Cluster_0659041
253,EU603711,Cluster_0410901 Cluster_0386457 Cluster_1437240 Cluster_1326636 Cluster_0207197 Cluster_1381988 Cluster_0207197 Cluster_1418603 Cluster_0346561 Cluster_1481252 Cluster_1130126 Cluster_0207197 Cluster_1170926 Cluster_0008832 Cluster_1380733 Cluster_1490473 Cluster_1130126 Cluster_0156349 Cluster_1573193 Cluster_0866292 Cluster_0652876 Cluster_0152017
254,EU603720,Cluster_0186645 EC:6.2.1.3 Cluster_1746038 Cluster_0244405
255,EU874252,Cluster_1130825 Cluster_0847114 Cluster_0720539 Cluster_1458269 Cluster_1509513 Cluster_1606065 Cluster_1672654 Cluster_1121844 Cluster_1786510 Cluster_0162268 Cluster_1192257 Cluster_1340063 Cluster_1204982 EC:2.4.1.311 EC:2.4.1.310 EC:2.4.1.310 Cluster_0935192 Cluster_0639943 EC:2.4.1.310 Cluster_1818036 Cluster_0230025 Cluster_1313057 Cluster_0498496 Cluster_1161265 Cluster_1161265 EC:2.6.1.103 Cluster_0980986 Cluster_0348336 Cluster_0479929 EC:1.13.11.46 EC:1.1.3.15 Cluster_0188898 Cluster_0848062 EC:2.6.1.50 Cluster_0623171 Cluster_0471409 EC:2.3.1.74 Cluster_1139369 EC:1.13.11.80 EC:4.2.1.17 EC:2.5.1.54
